k,1agent,4agent_coevol,4agent_attempts_only,4agent_no_sharing
339,1.0000004292,0.9999999467,1.0000025366,1.0000055948
340,1.0000004292,0.9999999467,1.0000025366,1.0000055948
341,1.0000004292,0.9999999467,1.0000025366,1.0000055948
342,1.0000004292,0.9999999467,1.0000025366,1.0000055948
343,1.0000004292,0.9999999467,1.0000025366,1.0000055948
344,1.0000004292,0.9999999467,1.0000025366,1.0000055948
345,1.0000004292,0.9999999467,1.0000025366,1.0000055948
346,1.0000004292,0.9999999467,1.0000025366,1.0000055948
347,1.0000004292,0.9999999467,1.0000025366,1.0000055948
348,1.0000004292,0.9999999467,1.0000025366,1.0000055948
349,1.0000004292,0.9999999467,1.0000025366,1.0000055948
350,1.0000004292,0.9999999467,1.0000025366,1.0000055948
351,1.0000004292,0.9999999467,1.0000025366,1.0000055948
352,1.0000004292,0.9999999467,1.0000025366,1.0000055948
353,1.0000004292,0.9999999467,1.0000025366,1.0000055948
354,1.0000004292,0.9999999467,1.0000025366,1.0000055948
355,1.0000004292,0.9999999467,1.0000025366,1.0000055948
356,1.0000004292,0.9999999467,1.0000025366,1.0000055948
357,1.0000004292,0.9999999467,1.0000025366,1.0000055948
358,1.0000004292,0.9999999467,1.0000025366,1.0000055948
359,1.0000004292,0.9999999467,1.0000025366,1.0000055948
360,1.0000004292,0.9999999467,1.0000025366,1.0000055948
361,1.0000004292,0.9999999467,1.0000025366,1.0000055948
362,1.0000004292,0.9999999467,1.0000025366,1.0000055948
363,1.0000004292,0.9999999467,1.0000025366,1.0000055948
364,1.0000004292,0.9999999467,1.0000025366,1.0000055948
365,1.0000004292,0.9999999467,1.0000025366,1.0000055948
366,1.0000004292,0.9999999467,1.0000025366,1.0000055948
367,1.0000004292,0.9999999467,1.0000025366,1.0000055948
368,1.0000004292,0.9999999467,1.0000025366,1.0000055948
369,1.0000004292,0.9999999467,1.0000025366,1.0000055948
370,1.0000004292,0.9999999467,1.0000025366,1.0000055948
371,1.0000004292,0.9999999467,1.0000025366,1.0000055948
372,1.0000004292,0.9999999467,1.0000025366,1.0000055948
373,1.0000004292,0.9999999467,1.0000025366,1.0000055948
374,1.0000004292,0.9999999467,1.0000025366,1.0000055948
375,1.0000004292,0.9999999467,1.0000025366,1.0000055948
376,1.0000004292,0.9999999467,1.0000025366,1.0000055948
377,1.0000004292,0.9999999467,1.0000025366,1.0000055948
378,1.0000004292,0.9999999467,1.0000025366,1.0000055948
379,1.0000004292,0.9999999467,1.0000025366,1.0000055948
380,1.0000004292,0.9999999467,1.0000025366,1.0000055948
381,1.0000004292,0.9999999467,1.0000025366,1.0000055948
382,1.0000004292,0.9999999467,1.0000025366,1.0000055948
383,1.0000004292,0.9999999467,1.0000025366,1.0000055948
384,1.0000004292,0.9999999467,1.0000025366,1.0000055948
385,1.0000004292,0.9999999467,1.0000025366,1.0000055948
386,1.0000004292,0.9999999467,1.0000025366,1.0000055948
387,1.0000004292,0.9999999467,1.0000025366,1.0000055948
388,1.0000004292,0.9999999467,1.0000025366,1.0000055948
389,1.0000004292,0.9999999467,1.0000025366,1.0000055948
390,1.0000004292,0.9999999467,1.0000025366,1.0000055948
391,1.0000004292,0.9999999467,1.0000025366,1.0000055948
392,1.0000004292,0.9999999467,1.0000025366,1.0000055948
393,1.0000004292,0.9999999467,1.0000025366,1.0000055948
394,1.0000004292,0.9999999467,1.0000025366,1.0000055948
395,1.0000004292,0.9999999467,1.0000025366,1.0000055948
396,1.0000004292,0.9999999467,1.0000025366,1.0000055948
397,1.0000004292,0.9999999467,1.0000025366,1.0000055948
398,1.0000004292,0.9999999467,1.0000025366,1.0000055948
399,1.0000004292,0.9999999467,1.0000025366,1.0000055948
400,1.0000004292,0.9999999467,1.0000025366,1.0000055948
401,1.0000004292,0.9999999467,1.0000025366,1.0000055948
402,1.0000004292,0.9999999467,1.0000025366,1.0000055948
403,1.0000004292,0.9999999467,1.0000025366,1.0000055948
